result_type,checkpoint,split,strategy,transaction_cost_pct,date,cash,position_btc,portfolio_value,drawdown_pct,action,trade_value,transaction_cost
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-12-07,0.0,0.0037081094978662077,162.21662384596863,-0.7581540439992538,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-12-08,0.0,0.0037081094978662077,160.53392431328456,-1.7876059204692922,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-12-09,0.0,0.0037081094978662077,163.77459474237875,0.0,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-12-10,0.0,0.0037081094978662077,162.14072347968417,-0.9976341356635325,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-12-11,0.0,0.0037081094978662077,162.33991848677266,-0.876006597887097,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-12-12,0.0,0.0037081094978662077,152.93663079867392,-6.617609990580776,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-12-13,0.0,0.0037081094978662077,153.70194983550698,-6.150309773451906,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-12-14,0.0,0.0037081094978662077,159.04355399119686,-2.888751310069752,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-12-15,0.0,0.0037081094978662077,159.5375871577739,-2.5870969739047447,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-12-16,0.0,0.0037081094978662077,155.4801476725638,-5.064550507886967,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-12-17,0.0,0.0037081094978662077,156.63099421875313,-4.361849000367042,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-12-18,0.0,0.0037081094978662077,153.38468920139852,-6.344027629757718,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-12-19,0.0,0.0037081094978662077,158.05275003032756,-3.493731565052436,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-12-20,0.0,0.0037081094978662077,156.74375840797535,-4.292995714911139,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-12-21,0.0,0.0037081094978662077,161.86732282823016,-1.1645712921157143,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-12-22,0.0,0.0037081094978662077,162.67160598439625,-0.6734797663322132,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-12-23,0.0,0.0037081094978662077,163.14902508224654,-0.3819699026679015,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-12-24,0.0,0.0037081094978662077,162.19100022994624,-0.9669353875816595,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-12-25,0.0,0.0037081094978662077,159.5084871890973,-2.604865278398112,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-12-26,0.0,0.0037081094978662077,161.72230098333705,-1.2531209509448085,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-12-27,0.0,0.0037081094978662077,157.6702932991492,-3.7272578526796343,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-12-28,0.0,0.0037081094978662077,161.09087946290353,-1.6386639720872274,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-12-29,0.0,0.0037081094978662077,158.06877022214258,-3.483949711010778,HOLD,0.0,0.0
